,screenName,text,favorited,favoriteCount,replyToSN,Tweet Datetime,truncated,replyToSID,id.x,replyToUID,statusSource,retweetCount,isRetweet,retweeted,longitude,latitude,description,statusesCount,followersCount,favoritesCount,friendsCount,url,name,created.y,protected,verified,location,lang,id.y,listedCount,followRequestSent,profileImageUrl,,Gender
22,777SUBHADEEP,"@IamSanjuSamson Go ahead <U+0001F603>
#IPL2021 #PBKSvsRR 
#sanju https://t.co/PHVFXuSaLb",FALSE,1,IamSanjuSamson,12-04-2021 20:19,FALSE,NA,1.3817E+18,428234009,Twitter Web App,0,FALSE,FALSE,NA,NA,"MOHUNBAGAN <U+0001F49A><U+2764><U+FE0F>
MSD <U+0001F5A4> 
HARMANPREET <U+0001F5A4>
SPORTS FAN",396,428,4822,496,NA,SUBHADEEP GHOSH,12-11-2019 18:49,FALSE,FALSE,Bihar,NA,1.19433E+18,0,FALSE,http://pbs.twimg.com/profile_images/1380603858368360448/ty6RJL39_normal.jpg,,Male
23,777SUBHADEEP,"@klrahul11 Great <U+0001F44D><U+0001F603>
#IPL2021 #RRvsPBKS",FALSE,0,klrahul11,12-04-2021 20:16,FALSE,NA,1.3817E+18,1469065189,Twitter Web App,0,FALSE,FALSE,NA,NA,"MOHUNBAGAN <U+0001F49A><U+2764><U+FE0F>
MSD <U+0001F5A4> 
HARMANPREET <U+0001F5A4>
SPORTS FAN",396,428,4822,496,NA,SUBHADEEP GHOSH,12-11-2019 18:49,FALSE,FALSE,Bihar,NA,1.19433E+18,0,FALSE,http://pbs.twimg.com/profile_images/1380603858368360448/ty6RJL39_normal.jpg,,Male
24,786_naqi,"'I Don't Have Words, Don't Think I Could Have Done Anything More' - Sanju Samson #IPL2021 #PBKSvsRR    
#PBKSvRR #IPL",FALSE,2,NA,12-04-2021 18:58,FALSE,NA,1.38168E+18,NA,Twitter for iPhone,1,FALSE,FALSE,NA,NA,"Researcher, Welsh, Cricket Analyst , Sports Presenter #CWC19 , Instagram @naqi787, Subscribe my YouTube channel : Cricketeer |OFFICIAL Twitter account",1878,256,801,548,https://t.co/6iaqRWNmxn,CRICKETEER UPDATES<U+0001F389><U+0001F38A><U+0001F3CF>,27-10-2020 18:04,FALSE,FALSE,Bihar,NA,1.32115E+18,1,FALSE,http://pbs.twimg.com/profile_images/1321153453322870786/2d-9kCW6_normal.jpg,,Male
25,786_naqi,#SANJUSAMSON HEROIC IN VAIN #RAJASTHANROYALS VS #PUNJABKINGS #PBKSvsRR #PBKSvRR #VIVOIPL #IPL2021… https://t.co/FPTjO1DErb,FALSE,2,NA,12-04-2021 21:33,TRUE,NA,1.38172E+18,NA,Twitter for iPhone,2,FALSE,FALSE,NA,NA,"Researcher, Welsh, Cricket Analyst , Sports Presenter #CWC19 , Instagram @naqi787, Subscribe my YouTube channel : Cricketeer |OFFICIAL Twitter account",1878,256,801,548,https://t.co/6iaqRWNmxn,CRICKETEER UPDATES<U+0001F389><U+0001F38A><U+0001F3CF>,27-10-2020 18:04,FALSE,FALSE,Bihar,NA,1.32115E+18,1,FALSE,http://pbs.twimg.com/profile_images/1321153453322870786/2d-9kCW6_normal.jpg,,Male
26,7amadabsi,So far in this season we are witnessing some great batting display! Expect a more competitive matches and a close title race #IPL2021,FALSE,1,NA,12-04-2021 20:21,FALSE,NA,1.3817E+18,NA,Twitter for iPhone,0,FALSE,FALSE,NA,NA,"Account Manager @Umniah . Sports addict. Olympic,Winter & American Sports reporter @Kooora . Sports delegate at @WorldAthletics",31244,1933,101,235,NA,Ahmed Absi,21-08-2009 23:25,FALSE,FALSE,Bihar,NA,67751193,39,FALSE,http://pbs.twimg.com/profile_images/1374243061543403525/X90XkCOP_normal.jpg,,Male
27,7amadabsi,Yet for another year KL Rahul is carrying @PunjabKingsIPL ! His batting performance is simply outstanding #RRvsPBKS #RR #PBKS #IPL2021,FALSE,1,NA,12-04-2021 20:04,FALSE,NA,1.3817E+18,NA,Twitter for iPhone,0,FALSE,FALSE,NA,NA,"Account Manager @Umniah . Sports addict. Olympic,Winter & American Sports reporter @Kooora . Sports delegate at @WorldAthletics",31244,1933,101,235,NA,Ahmed Absi,21-08-2009 23:25,FALSE,FALSE,Bihar,NA,67751193,39,FALSE,http://pbs.twimg.com/profile_images/1374243061543403525/X90XkCOP_normal.jpg,,Male
28,89Venkatesh,@ViCustomerCare @DisneyplusHSVIP 3 singles were taken in the 14th over of the 2nd inning @ViCustomerCare… https://t.co/Gwt22oMxd9,FALSE,0,ViCustomerCare,12-04-2021 18:46,TRUE,1.38168E+18,1.38168E+18,1.28764E+18,Twitter for Android,0,FALSE,FALSE,NA,NA,,4383,4,469,78,NA,Venkatesh,14-07-2020 08:11,FALSE,FALSE,Bihar,NA,1.28295E+18,0,FALSE,http://pbs.twimg.com/profile_images/1312776587868135425/gCcAMyB4_normal.jpg,,Male
29,90sKidszz,"https://t.co/PjicUi2gGr
#PBKSvsRR Troll Memes<U+0001F602>
#PunjabKings #RRvsPBKS
#IPL2021 Tamil Memes",FALSE,0,NA,12-04-2021 20:03,FALSE,NA,1.3817E+18,NA,Twitter for Android,0,FALSE,FALSE,NA,NA,"#90sKIDS
#Memes
#Editzz",72,12,2,2,https://t.co/KcOObgdyl7,90s KIDS,03-06-2018 04:53,FALSE,FALSE,Bihar,NA,1.00314E+18,0,FALSE,http://pbs.twimg.com/profile_images/1097497028660060160/aG_ESC8S_normal.png,,Male
30,90sKidszz,"#IPL2021 #RRvsPBKS Troll
Memes https://t.co/PjicUi2gGr
#PBKSvRR #PunjabKings #RajasthanRoyals 
#Tamil",FALSE,0,NA,12-04-2021 20:01,FALSE,NA,1.3817E+18,NA,Twitter for Android,0,FALSE,FALSE,NA,NA,"#90sKIDS
#Memes
#Editzz",72,12,2,2,https://t.co/KcOObgdyl7,90s KIDS,03-06-2018 04:53,FALSE,FALSE,Bihar,NA,1.00314E+18,0,FALSE,http://pbs.twimg.com/profile_images/1097497028660060160/aG_ESC8S_normal.png,,Male
31,A1KagziBrothers,"@ViCustomerCare @DisneyplusHSVIP A16) CHETAN SAKARIYA took 3 wickets for Rajasthan in this match<U+0001F536>

#FanOfTheMatch… https://t.co/OuniXrPmRQ",FALSE,1,ViCustomerCare,12-04-2021 18:49,TRUE,1.38168E+18,1.38168E+18,1.28764E+18,Twitter for Android,0,FALSE,FALSE,NA,NA,,17361,189,10326,2524,NA,Ahmed Noor Kagzi,31-01-2018 04:42,FALSE,FALSE,Bihar,NA,9.58561E+17,0,FALSE,http://pbs.twimg.com/profile_images/1371436440563843072/NSKCfiMS_normal.jpg,,Male
